Date : 2024-07-21 17:38:11
Directory : c:\Users\jakec\OneDrive\Documents\ProtoFramework
Total : 80 files,  7469 codes, 365 comments, 2464 blanks, all 10298 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Classes\TeleportPoint.luau                              | Luau     |         23 |          0 |         11 |         34 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\GameManager.luau                                | Luau     |          5 |          1 |          4 |         10 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\Banlist.luau                   | Luau     |         13 |          1 |          6 |         20 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\DataTemplate.luau              | Luau     |          7 |          0 |          5 |         12 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\GameDataManager.luau           | Luau     |          9 |          0 |          5 |         14 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\LeaderStatsManager.luau        | Luau     |         30 |          1 |         10 |         41 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\PlayerManager.luau             | Luau     |        101 |          0 |         43 |        144 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\PlayerManagement\ProfileVersionUpdates.luau     | Luau     |         21 |          1 |          8 |         30 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\ProfileService.luau                             | Luau     |      1,890 |        178 |        348 |      2,416 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\Modules\ServerUIManager.luau                            | Luau     |         16 |          0 |          6 |         22 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\RingBoxGenerator.luau                                   | Luau     |         99 |          4 |         38 |        141 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Server\init.server.lua                                         | Luau     |          3 |          0 |          1 |          4 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\CharacterTouchDetector.luau               | Luau     |         31 |          0 |         11 |         42 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Debounce.luau                             | Luau     |         17 |          0 |          8 |         25 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Maid.luau                                 | Luau     |         66 |          0 |         33 |         99 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PID.luau                                  | Luau     |          5 |          0 |          3 |          8 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PartPool.luau                             | Luau     |         77 |          0 |         29 |        106 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PartPoolWithVariations.luau               | Luau     |         38 |          2 |         20 |         60 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\PrioritySignal.luau                       | Luau     |         54 |          0 |         29 |         83 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Quaternion.luau                           | Luau     |        432 |         32 |        109 |        573 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Signal.luau                               | Luau     |        313 |         57 |         63 |        433 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Spring.luau                               | Luau     |        111 |          2 |         46 |        159 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Timer.luau                                | Luau     |         22 |          0 |         10 |         32 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedClasses\Tweener.luau                              | Luau     |         45 |          0 |         16 |         61 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedModuleManagers\ClassCharacterManager.luau         | Luau     |         57 |          0 |         21 |         78 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedModuleManagers\ClassPlayerManager.luau            | Luau     |         57 |          0 |         23 |         80 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\BufferUtil.luau                              | Luau     |        167 |          0 |         76 |        243 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\BulkMove.luau                                | Luau     |         30 |          0 |         10 |         40 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\GreedyMeshGrid.luau                          | Luau     |        148 |          0 |         48 |        196 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\Math.luau                                    | Luau     |        253 |          2 |         62 |        317 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\OctreeShapesGenerator.luau                   | Luau     |         81 |          2 |         28 |        111 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\Oklab.luau                                   | Luau     |         45 |          7 |         15 |         67 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\PropertiesUtil.luau                          | Luau     |         28 |          0 |         14 |         42 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\TypePacker.luau                              | Luau     |        116 |          5 |         39 |        160 |
| c:\Users\jakec\OneDrive\Documents\ProtoFramework\src\Shared\SharedUtil\sRGB.luau                                    | Luau     |         38 |          8 |          8 |         54 |
| Total                                                                                                               |          |      7,469 |        365 |      2,464 |     10,298 |
+---------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
